"Item","Description","Qty"
"T 12 ","SATIN 80M","21 600"
"T 14","SATIN 80M","21 600"
"T 16","SATIN 80M","21 600"
"LACOSTE","JOURNAL SATIN","20 000"
"MOBILIS 5","PRODUCTION","6 076"
"LACOSTE 6G 7P","PRODUCTION","3 494"
"N 10 JSK 4","PRODUCTION","2 550"
"SONATRAC","PRODUCTION","2 159"
"103107","FEUILLE CHINE","1 706"
"FAF12 ADIDAS25","PRODUCTION","1 351"
"ARMY/24P","FEUILLE Transfer","1 293"
"150106","FEUILLE CHINE","1 286"
"FILLETTE/24P","FEUILLE Transfer","1 129"
"JSK 40","PRODUCTION","1 063"
"ARMY/4P","FEUILLE Transfer","1 038"
"FILLETTE/6P","FEUILLE Transfer","1 000"
"MULTI-MARCK 55","PRODUCTION","977"
"FAF 12 ADIDAS 25","PRODUCTION","831"
"CLUB FOOT 03/6P","FEUILLE Transfer","777"
"103108","FEUILLE CHINE","732"
"CLUB FOOT 02/6P","FEUILLE Transfer","722"
"CLUB FOOT 01/6P","FEUILLE Transfer","693"
"TIGER 60","PRODUCTION","634"
"CLUB FOOT 01/4P","FEUILLE Transfer","595"
"ARMY/6P","FEUILLE Transfer","532"
"ARMY/8P","FEUILLE Transfer","525"
"CLUB FOOT 03/4P","FEUILLE Transfer","524"
"CLUB FOOT 04/4P","FEUILLE Transfer","518"
"ARMY/11+2P","FEUILLE Transfer","517"
"MULTI MARCK 4","PRODUCTION","510"
"CAPPA 96","PRODUCTION","493"
"FAF ADIDAS","PRODUCTION","454"
"JSK","PRODUCTION","451"
"CLUB FOOT 02/4P","FEUILLE Transfer","448"
"107091","FEUILLE CHINE","429"
"107093","FEUILLE CHINE","429"
"107094","FEUILLE CHINE","428"
"107090","FEUILLE CHINE","422"
"107095","FEUILLE CHINE","421"
"107088","FEUILLE CHINE","420"
"107092","FEUILLE CHINE","420"
"107089","FEUILLE CHINE","409"
"OOREDOO","PRODUCTION","403"
"TIGER 90","PRODUCTION","401"
"FAF_12_ADIDAS_27","PRODUCTION","354"
"SIDAL","PRODUCTION","301"
"MOBILIS 10","PRODUCTION","252"
"MOBILIS 6","PRODUCTION","250"
"70038","FEUILLE","200"
"72265","FEUILLE","200"
"ADIDAS 64","PRODUCTION","200"
"SONATRACH","PRODUCTION","200"
"CAPA","PRODUCTION","173"
"USMH 40","PRODUCTION","153"
"FAF 21 ADIDAS","PRODUCTION","102"
"NIKE 156","PRODUCTION","100"
"MCA 2","PRODUCTION","100"
"BARCA","STOCK RAHIM","100"
"MCA","PRODUCTION","100"
"M C A","DE RAHIM","85"
"USMH 70","PRODUCTION","63"
"ADIDAS 3B 96","PRODUCTION","60"
"53616","FEUILLE","40"
"53625","FEUILLE","40"
"NIKE TACHA PM","PRODUCTION","40"
"U S M H","PRODUCTION","32"
"T 2","POLYAMIDE","23"
"T 4","POLYAMIDE","23"
"T 6","POLYAMIDE","23"
"T 8","POLYAMIDE","23"
"T 10","POLYAMIDE","23"
"ETOILE","PRODUCTION","21"
